enz	rxns	protein_stoich	MW (g/mmol)	status
YNL101W	ASNtps_v,GLNtps_v,ILEtps_v,LEUtps_v,TYRtps_v	YNL101W:1	80.73418	automatically added
YJL130C	ASPCT_c	YJL130C:1	247.1883	automatically added
YPR021C	ASPGLUt_c_m,GLUt_c_m	YPR021C:1	105.19006	automatically added
YER052C	ASPK_c	YER052C:1	58.61322	automatically added
YLR027C	ASPTA_c,ASPTA_x,EGHLAT_c,EGHLAT_x,TYRTAi_x	YLR027C:1	46.4602	automatically added
YKL106W	ASPTAi_m,EGHLAT_m	YKL106W:1	52.23895	automatically added
YLL018C	ASPTRS_c	YLL018C:1	64.04794	automatically added
YPL104W	ASPTRS_m	YPL104W:1	76.11009	automatically added
YFL055W	ASPtps_e,GLUtps_e,SERtps_e	YFL055W:1	61.59119	automatically added
YER119C	ASPtps_v,GLUtps_v	YER119C:1	49.27912	automatically added
YIR029W	ATAH_c	YIR029W:1	39.0303	automatically added
YMR226C	ATHRDHr_c,LSERDHi_c	YMR226C:1	29.40611	automatically added
YCR024C-AYEL017C-AYGL008C	ATPASEP2e_c	YCR024C-A:1,YEL017C-A:1,YGL008C:1	105.01386000000001	automatically added
YCR024C-AYEL017C-AYPL036W	ATPASEP2e_c	YCR024C-A:1,YEL017C-A:1,YPL036W:1	107.59349	automatically added
YBR127CYDL185WYEL027WYEL051WYGR020CYHR026WYHR039C-AYKL080WYLR447CYMR054WYOR332WYPL234CYPR036W	ATPASEVg_c	YBR127C:1,YDL185W:1,YEL027W:1,YEL051W:1,YGR020C:1,YHR026W:1,YHR039C-A:1,YKL080W:1,YLR447C:1,YMR054W:1,YOR332W:1,YPL234C:1,YPR036W:1	558.86907	automatically added
YBR127CYDL185WYEL027WYEL051WYGR020CYHR026WYHR039C-AYKL080WYLR447CYOR270CYOR332WYPL234CYPR036W	ATPASEVv_c	YBR127C:1,YDL185W:1,YEL027W:1,YEL051W:1,YGR020C:1,YHR026W:1,YHR039C-A:1,YKL080W:1,YLR447C:1,YOR270C:1,YOR332W:1,YPL234C:1,YPR036W:1	552.69016	automatically added
YDR530C	ATPATF1_c	YDR530C:1	37.13342	automatically added
YCL050C	ATPATF2_c,ATPATF3_c,SLFAT_c	YCL050C:1	36.77818	automatically added
YER055C	ATPPRT_c	YER055C:1	32.54313	automatically added
Q0080Q0085Q0130YBL099WYBR039WYDL004WYDR298CYDR322C-AYDR377WYJR121WYKL016CYLR295CYML081C-AYPL078CYPL271W	ATPS_m	Q0080:1,Q0085:1,Q0130:1,YBL099W:1,YBR039W:1,YDL004W:1,YDR298C:1,YDR322C-A:1,YDR377W:1,YJR121W:1,YKL016C:1,YLR295C:1,YML081C-A:1,YPL078C:1,YPL271W:1	329.49186000000003	automatically added
Q0080Q0085Q0130YBL099WYBR039WYDL004WYDR298CYDR377WYJR121WYKL016CYLR295CYML081C-AYPL078CYPL271WYPR020W	ATPS_m	Q0080:1,Q0085:1,Q0130:1,YBL099W:1,YBR039W:1,YDL004W:1,YDR298C:1,YDR377W:1,YJR121W:1,YKL016C:1,YLR295C:1,YML081C-A:1,YPL078C:1,YPL271W:1,YPR020W:1	331.56852	automatically added
YOL064C	BPNT_c	YOL064C:1	39.47983	automatically added
YAL060W	BTDDH_c	YAL060W:1	41.93764	automatically added
YGR065C	BTNtps_e	YGR065C:1	69.67209	automatically added
YGR286C	BTS1_c	YGR286C:1	42.24792	automatically added
YNL280C	C14STR_c	YNL280C:1	51.04396	automatically added
YMR015C	C22STDSy_c	YMR015C:1	61.8569	automatically added
YGL012W	C24STR_r	YGL012W:1	56.50404	automatically added
YGL001C	C3STDH2_c,C3STDH1_c	YGL001C:1	39.03295	automatically added
YLR100W	C3STKR1_c,C3STKR2_c	YLR100W:1	40.05525	automatically added
YGR060W	C4STMO1_c,C4STMO2_c,C4STMO3_c,C4STMO4_c	YGR060W:1	36.77177	automatically added
YLR056W	C5STDS_c	YLR056W:1	43.07681	automatically added
YMR202W	C8STI_c	YMR202W:1	25.09228	automatically added
YOL122C	CA2tps_c_e,CUtps_c_e	YOL122C:1	63.81525	automatically added
YGR088W	CAT_c	YGR088W:1	65.1185	automatically added
YDR256C	CAT_x	YDR256C:1	59.05075	automatically added
YFR055W	CBL_c	YFR055W:1	37.28608	automatically added
YGL184C	CBL_c	YGL184C:1	52.27797	automatically added
YJL130CYJR109CYOR303W	CBPS_c	YJL130C:1,YJR109C:1,YOR303W:1	417.9244	automatically added
YBR029C	CDPDAGS_rm	YBR029C:1	52.27036	automatically added
YDR297W	CERH124A_r,CERH126A_r,PSPHS_r	YDR297W:1	41.06684	automatically added
YMR272C	CERH124B_r,CERH126B_r,CERH2A24_r,CERH2A26_r,CERH324_r,CERH326_r	YMR272C:1	45.2369	automatically added
YHL003CYMR298W	CERS124_r,CERS126_r,CERS2A24_r,CERS2A26_r	YHL003C:1,YMR298W:1	66.19149	automatically added
YKL008CYMR298W	CERS124_r,CERS126_r,CERS2A24_r,CERS2A26_r	YKL008C:1,YMR298W:1	66.74305	automatically added
YBR183W	CERSFA2A24_r	YBR183W:1	36.72032	automatically added
YGR202C	CHLPCTD_c	YGR202C:1	49.81763	automatically added
YLR133W	CHOLK_c,ETHAK_c	YLR133W:1	66.86901	automatically added
YNL130C	CHOLPT_rm	YNL130C:1	45.19895	automatically added
YOR161C	CHOLt_c_en,CHOLt_c_e	YOR161C:1	60.77723	automatically added
YGL077C	CHOLtps_e,ETHAt_c_e,CHOLt_c_en	YGL077C:1	62.59646	automatically added
YPR060C	CHORM_c	YPR060C:1	29.98189	automatically added
YGL148W	CHORS_c	YGL148W:1	41.19697	automatically added
YLR307W	CHTNDA_c	YLR307W:1	34.90786	automatically added
YLR308W	CHTNDA_c	YLR308W:1	35.96966	automatically added
YBR038W	CHTNS_c	YBR038W:1	110.83763	automatically added
YNL192W	CHTNS_c	YNL192W:1	130.9662	automatically added
YBR023C	CHTNS_c	YBR023C:1	132.73793	automatically added
YBR291C	CITMALta_m,CITPEPt_c_m,CITICITt_c_m	YBR291C:1	32.46806	automatically added
YDL142C	CLPNS_mm	YDL142C:1	32.29944	automatically added
YPL148C	COAHL_m	YPL148C:1	20.132	automatically added
YHR002W	COAt_c_m,COAt_c_mm	YHR002W:1	41.18093	automatically added
YDR044W	CPPPGO_c	YDR044W:1	38.01712	automatically added
YOR100C	CRNACRNt_c_m,CRNt_c_m,ACRNt_c_m	YOR100C:1	35.08	automatically added
YAR035W	CRNOAT_c	YAR035W:1	78.42861	automatically added
