"j"	"v"	"v_enzload"	"+ slack"	"- slack"
"RXN-SQLEy_r_FWD-YGR175C"	 1.299705333109435E+03	 1.583473238674806E-01	 1.19E-01	 0.00E+00
"RXN-SQLS_c_FWD-YHR190W"	 1.299705333109435E+03	 1.660989838197369E-01	 1.19E-01	 0.00E+00
"RXN-SLFAT_c_FWD-YCL050C"	 2.377015863274927E+03	 1.904304566608506E-01	 0.00E+00	 1.76E+01
"RXN-TMDPK_c_FWD-YOR143C"	 9.390234659201575E+00	 1.243627450533883E-02	 2.56E-10	 0.00E+00
"RXN-THRS_c_FWD-YCR053W"	 1.239901483919779E+04	 3.591857937689504E-01	 0.00E+00	 7.05E+02
"RXN-THRTRS_c_FWD-YIL078W"	 1.040412122499452E+04	 2.895331655211030E-01	 0.00E+00	 2.04E+02
"RXN-TMDS_c_FWD-YOR074C"	 8.686279831548116E+01	 2.826762150405556E-02	 0.00E+00	 4.76E-09
"RXN-TKT1_c_FWD-YBR117C"	 1.850805368056281E+02	 4.286518446402869E-04	 0.00E+00	 1.63E+02
"RXN-TRPS1_c_FWD-YGL026C"	 1.652201823446261E+04	 4.084682386406557E-01	 9.44E+01	 0.00E+00
"RXN-TRPTRS_c_FWD-YOL097C"	 1.721654810556860E+03	 7.429501415572158E-02	 9.44E+01	 0.00E+00
"RXN-TYRTRS_c_FWD-YGR185C"	 5.656330050147306E+03	 9.906830227127991E-02	 0.00E+00	 3.06E+02
"RXN-UAGDP_c_FWD-YDL103C"	 6.113049822090327E+02	 6.154406334387504E-02	 0.00E+00	 1.24E-09
"RXN-UPPRT_c_FWD-YHR128W"	 5.865590919888942E+03	 1.937748648561219E-01	 3.94E+03	 0.00E+00
"RXN-UPP3MT_2_c_FWD-YKR069W"	 6.042477088697618E-01	 5.784471120387762E-02	 0.00E+00	 1.21E-01
"RXN-UPP3S_c_FWD-YOR278W"	 1.766886136241214E+00	 2.299549874173202E-02	 0.00E+00	 1.21E-01
"RXN-VALTA_c_FWD-YJR148W"	 5.988264902019364E+02	 1.000000000000000E-09	 0.00E+00	 5.99E+02
"RXN-XPPT_c_FWD-YJR133W"	 1.333751338176131E+03	 6.156528455600772E-02	 1.44E+00	 0.00E+00
"RXN-HCITS_m_FWD-YDL131W"	 1.549449899510003E+04	 8.674100911194509E-01	 8.61E-09	 0.00E+00
"RXN-3OACE260_rm_FWD-YLR372W"	 2.411946678328822E+01	 9.383466008444287E-02	 0.00E+00	 2.01E-02
"RXN-3OACR200_rm_FWD-YBR159W"	 4.823893356657643E+01	 1.000000000000000E-09	 0.00E+00	 4.82E+01
"RXN-3OACR220_rm_FWD-YBR159W"	 4.823893356657643E+01	 1.000000000000000E-09	 0.00E+00	 4.82E+01
"RXN-3OACR240_rm_FWD-YBR159W"	 4.823893356657643E+01	 8.600524829165355E-02	 0.00E+00	 1.68E-06
"RXN-3OACR260_rm_FWD-YBR159W"	 2.411946678328822E+01	 1.000000000000000E-09	 0.00E+00	 2.41E+01
"RXN-3HACD200_rm_FWD-YJL097W"	 4.823893356657643E+01	 1.000000000000000E-09	 0.00E+00	 4.82E+01
"RXN-3HACD220_rm_FWD-YJL097W"	 4.823893356657643E+01	 1.000000000000000E-09	 0.00E+00	 4.82E+01
"RXN-3HACD240_rm_FWD-YJL097W"	 4.823893356657643E+01	 1.106214467243143E-02	 0.00E+00	 1.31E-05
"RXN-3HACD260_rm_FWD-YJL097W"	 2.411946678328822E+01	 1.000000000000000E-09	 0.00E+00	 2.41E+01
"RXN-ECOAR200_rm_FWD-YDL015C"	 4.823893356657643E+01	 1.000000000000000E-09	 0.00E+00	 4.82E+01
"RXN-ECOAR220_rm_FWD-YDL015C"	 4.823893356657643E+01	 2.662534107408839E-02	 0.00E+00	 5.44E-06
"RXN-ECOAR240_rm_FWD-YDL015C"	 4.823893356657643E+01	 1.000000000000000E-09	 0.00E+00	 4.82E+01
"RXN-ECOAR260_rm_FWD-YDL015C"	 2.411946678328822E+01	 1.000000000000000E-09	 0.00E+00	 2.41E+01
"RXN-ACOADS160_rm_FWD-YGL055W"	 8.552081622951209E+02	 5.133479884805417E-02	 0.00E+00	 5.30E+00
"RXN-ACOADS180_rm_FWD-YGL055W"	 3.118336046670738E+02	 1.000000000000000E-09	 0.00E+00	 3.12E+02
"RXN-FACOAL161_x_FWD-YER015W"	 5.299455841881826E+00	 0.000000000000000E+00	 0.00E+00	 5.30E+00
"RXN-FACOAL240_l_FWD-YBR041W"	 3.471244273809145E+02	 1.304080875302227E-02	 3.13E+02	 0.00E+00
"RXN-ACOAO161b_x_FWD-YGL205W"	 5.299455841881826E+00	 0.000000000000000E+00	 0.00E+00	 5.30E+00
"RXN-ACOAO141b_x_FWD-YGL205W"	 5.299455841881826E+00	 7.018629412629515E-05	 0.00E+00	 1.75E+00
"RXN-ACOAO121a_x_FWD-YGL205W"	 5.299455841881826E+00	 0.000000000000000E+00	 0.00E+00	 5.30E+00
"RXN-ECOAR122_x_FWD-YNL202W"	 5.299455841881826E+00	 2.637323957182716E-03	 1.28E+02	 0.00E+00
"RXN-STEHg161_l_FWD-YKL140W"	 2.690451246019148E+02	 1.065409938643305E-02	 2.70E+02	 0.00E+00
"RXN-2OXOADPt_c_m_FWD-YOR222W"	 1.483455931474345E+04	 1.546295406874125E-01	 0.00E+00	 7.01E+03
"RXN-ASPGLUt_c_m_FWD-YPR021C"	 9.999999999997072E-03	 1.138993452131514E-03	 0.00E+00	 5.07E-03
"RXN-INOSTtps_e_FWD-YDR497C"	 9.267521039847866E+02	 4.221485068807054E-02	 1.21E+03	 0.00E+00
"RXN-FE2t_c_e_FWD-YMR058W"	 3.044221246896656E+01	 3.039411347805597E-02	 1.51E+03	 0.00E+00
"RXN-ASNtpa_v_FWD-YJR001W"	 1.832550961152180E+02	 1.829319147021316E-02	 7.42E+02	 0.00E+00
"RXN-LYStps_e_REV-YNL268W"	 7.201976921921362E+02	 2.167389788044275E-03	 0.00E+00	 6.11E+02
"RXN-PNTOtps_e_FWD-YCR028C"	 7.322576232464598E+00	 3.943231416207140E-04	 0.00E+00	 7.05E-09
"RXN-3C3HMPt_c_m_REV-YKL120W"	 1.522383792932368E+04	 3.489512707766829E-02	 0.00E+00	 1.28E+04
"RXN-PYDXK_c_FWD-YNR027W"	 9.540388301302755E+00	 6.888770514155676E-03	 1.67E-09	 0.00E+00
"RXN-THRt_c_m_FWD-YDR508C"	 5.059523783760395E-05	 1.000000000000000E-09	 0.00E+00	 5.06E-05
"RXN-CA2tps_c_e_FWD-YOL122C"	 4.802550602312347E+01	 1.150737746945313E-04	 0.00E+00	 4.17E-04
"RXN-CUtps_c_e_FWD-YOL122C"	 4.960116971710661E+00	 1.000000000000000E-09	 0.00E+00	 4.96E+00
"RXN-PSSA_rm_FWD-YER026C"	 5.511136460512969E+02	 5.835292681368736E-02	 0.00E+00	 6.61E+01
"RXN-TAGL_l_FWD-YCR068W"	 8.816183469593730E+01	 3.370157762484331E-03	 8.24E+01	 0.00E+00
"RXN-PSD_mm_FWD-YNL169C"	 4.629621010025299E+02	 2.084656062313306E-02	 5.92E+02	 0.00E+00
"RXN-PEMT_rm_FWD-YGR157W"	 3.895521892048093E+02	 2.925963270604170E-02	 0.00E+00	 6.61E+01
"RXN-PMEMT_rm_FWD-YJR073C"	 3.895521892048093E+02	 3.895858162648322E-02	 0.00E+00	 6.61E+01
"RXN-PDMEMT_rm_FWD-YJR073C"	 3.895521892048093E+02	 1.000000000000000E-09	 0.00E+00	 3.90E+02
"RXN-PI3PP_c_FWD-YJR110W"	 3.137635482311995E+01	 1.439010855751954E-03	 4.14E+01	 0.00E+00
"RXN-ACHBS_m_FWD-ILV26"	 1.144694831882669E+04	 1.000000000000000E-09	 0.00E+00	 1.14E+04
"RXN-ACLS_m_FWD-YMR108W"	 6.447618631826699E+03	 0.000000000000000E+00	 0.00E+00	 6.45E+03
"RXN-ANS_c_FWD-TRP23"	 1.721654810556860E+03	 4.234585611695846E-04	 0.00E+00	 1.71E+03
"RXN-ASPTA_x_FWD-YLR027C_x"	 5.279455841718078E+00	 0.000000000000000E+00	 0.00E+00	 5.28E+00
"RXN-ATPS_m_FWD-ATPSCPLX"	 2.483337403668428E+05	 0.000000000000000E+00	 0.00E+00	 2.48E+05
"RXN-CBPS_c_FWD-CPA12"	 1.561478809158767E+04	 4.607665288692747E-01	 7.70E+03	 0.00E+00
"RXN-CERS2A26_r_FWD-LIP1LAC1"	 2.411946358554489E+01	 2.051244225607177E-04	 0.00E+00	 1.37E+01
"RXN-ACONTa_c_FWD-YLR304C_c"	 1.963674389408418E+04	 1.000000000000000E-09	 0.00E+00	 1.96E+04
"RXN-HISTRS_c_FWD-YPR033C_c"	 3.580919124431935E+03	 1.887182299877610E-01	 0.00E+00	 1.41E+02
"RXN-NADS2_c_FWD-YHR074W_c"	 2.302920737070963E+02	 5.260926892078447E-02	 0.00E+00	 1.18E-09
"RXN-PHETRS_c_FWD-FRS12"	 7.333544397039715E+03	 1.004852482658564E-01	 0.00E+00	 3.92E+02
